id,level,code,name,country_id/id
concelho_1015,1,1015,Leiria / Pombal,base.pt
concelho_1016,1,1016,Leiria / Porto de Mós,base.pt
concelho_1101,1,1101,Lisboa / Alenquer,base.pt
concelho_1102,1,1102,Lisboa / Arruda dos Vinhos,base.pt
concelho_1103,1,1103,Lisboa / Azambuja,base.pt
concelho_1104,1,1104,Lisboa / Cadaval,base.pt
concelho_1105,1,1105,Lisboa / Cascais,base.pt
concelho_1106,1,1106,Lisboa / Lisboa,base.pt
concelho_1107,1,1107,Lisboa / Loures,base.pt
concelho_1108,1,1108,Lisboa / Lourinhã,base.pt
concelho_1109,1,1109,Lisboa / Mafra,base.pt
concelho_1110,1,1110,Lisboa / Oeiras,base.pt
concelho_1111,1,1111,Lisboa / Sintra,base.pt
concelho_1112,1,1112,Lisboa / Sobral  Monte Agraço,base.pt
concelho_1113,1,1113,Lisboa / Torres Vedras,base.pt
concelho_1114,1,1114,Lisboa / Vila Franca de Xira,base.pt
concelho_1115,1,1115,Lisboa / Amadora,base.pt
concelho_1116,1,1116,Lisboa / Odivelas,base.pt
concelho_1201,1,1201,Portalegre / Alter do Chão,base.pt
concelho_1202,1,1202,Portalegre / Arronches,base.pt
concelho_1203,1,1203,Portalegre / Avis,base.pt
concelho_1204,1,1204,Portalegre / Campo Maior,base.pt
concelho_1205,1,1205,Portalegre / Castelo de Vide,base.pt
concelho_1206,1,1206,Portalegre / Crato,base.pt
concelho_1207,1,1207,Portalegre / Elvas,base.pt
concelho_1208,1,1208,Portalegre / Fronteira,base.pt
concelho_1209,1,1209,Portalegre / Gavião,base.pt
concelho_1210,1,1210,Portalegre / Marvão,base.pt
concelho_1211,1,1211,Portalegre / Monforte,base.pt
concelho_1212,1,1212,Portalegre / Nisa,base.pt
concelho_1213,1,1213,Portalegre / Ponte de Sor,base.pt
concelho_1214,1,1214,Portalegre / Portalegre,base.pt
concelho_1215,1,1215,Portalegre / Sousel,base.pt
concelho_1301,1,1301,Porto / Amarante,base.pt
concelho_1302,1,1302,Porto / Baião,base.pt
concelho_1303,1,1303,Porto / Felgueiras,base.pt
concelho_1304,1,1304,Porto / Gondomar,base.pt
concelho_1305,1,1305,Porto / Lousada,base.pt
concelho_1306,1,1306,Porto / Maia,base.pt
concelho_1307,1,1307,Porto / Marco de Canaveses,base.pt
concelho_1308,1,1308,Porto / Matosinhos,base.pt
concelho_1309,1,1309,Porto / Paços de Ferreira,base.pt
concelho_1310,1,1310,Porto / Paredes,base.pt
concelho_1311,1,1311,Porto / Penafiel,base.pt
concelho_1312,1,1312,Porto / Porto,base.pt
concelho_1313,1,1313,Porto / Póvoa de Varzim,base.pt
concelho_1314,1,1314,Porto / Santo Tirso,base.pt
concelho_1315,1,1315,Porto / Valongo,base.pt
concelho_1316,1,1316,Porto / Vila do Conde,base.pt
concelho_1317,1,1317,Porto / Vila Nova de Gaia,base.pt
concelho_1318,1,1318,Porto / Trofa,base.pt
concelho_1401,1,1401,Santarém / Abrantes,base.pt
concelho_1402,1,1402,Santarém / Alcanena,base.pt
concelho_1403,1,1403,Santarém / Almeirim,base.pt
concelho_1404,1,1404,Santarém / Alpiarça,base.pt
concelho_1405,1,1405,Santarém / Benavente,base.pt
concelho_1406,1,1406,Santarém / Cartaxo,base.pt
concelho_1407,1,1407,Santarém / Chamusca,base.pt
concelho_1408,1,1408,Santarém / Constância,base.pt
concelho_1409,1,1409,Santarém / Coruche,base.pt
concelho_1410,1,1410,Santarém / Entroncamento,base.pt
concelho_1411,1,1411,Santarém / Ferreira do Zêzere,base.pt
concelho_1412,1,1412,Santarém / Golegã,base.pt
concelho_1413,1,1413,Santarém / Mação,base.pt
concelho_1414,1,1414,Santarém / Rio Maior,base.pt
concelho_1415,1,1415,Santarém / Salvaterra de Magos,base.pt
concelho_1416,1,1416,Santarém / Santarém,base.pt
concelho_1417,1,1417,Santarém / Sardoal,base.pt
concelho_1418,1,1418,Santarém / Tomar,base.pt
concelho_1419,1,1419,Santarém / Torres Novas,base.pt
concelho_1420,1,1420,Santarém / Vila Nova Barquinha,base.pt
concelho_1421,1,1421,Santarém / Ourém,base.pt
concelho_1501,1,1501,Setúbal / Alcácer do Sal,base.pt
concelho_1502,1,1502,Setúbal / Alcochete,base.pt
concelho_1503,1,1503,Setúbal / Almada,base.pt
concelho_1504,1,1504,Setúbal / Barreiro,base.pt
concelho_1505,1,1505,Setúbal / Grândola,base.pt
concelho_1506,1,1506,Setúbal / Moita,base.pt
concelho_1507,1,1507,Setúbal / Montijo,base.pt
concelho_1508,1,1508,Setúbal / Palmela,base.pt
concelho_1509,1,1509,Setúbal / Santiago do Cacém,base.pt
concelho_1510,1,1510,Setúbal / Seixal,base.pt
concelho_1511,1,1511,Setúbal / Sesimbra,base.pt
concelho_1512,1,1512,Setúbal / Setúbal,base.pt
concelho_1513,1,1513,Setúbal / Sines,base.pt
concelho_1601,1,1601,Viana do Castelo / Arcos de Valdevez,base.pt
concelho_1602,1,1602,Viana do Castelo / Caminha,base.pt
concelho_1603,1,1603,Viana do Castelo / Melgaço,base.pt
concelho_1604,1,1604,Viana do Castelo / Monção,base.pt
concelho_1605,1,1605,Viana do Castelo / Paredes de Coura,base.pt
concelho_1606,1,1606,Viana do Castelo / Ponte da Barca,base.pt
concelho_1607,1,1607,Viana do Castelo / Ponte de Lima,base.pt
concelho_1608,1,1608,Viana do Castelo / Valença,base.pt
concelho_1609,1,1609,Viana do Castelo / Viana do Castelo,base.pt
concelho_1610,1,1610,Viana do Castelo / Vila Nova Cerveira,base.pt
concelho_1701,1,1701,Vila Real / Alijó,base.pt
concelho_1702,1,1702,Vila Real / Boticas,base.pt
concelho_1703,1,1703,Vila Real / Chaves,base.pt
concelho_1704,1,1704,Vila Real / Mesão Frio,base.pt
concelho_1705,1,1705,Vila Real / Mondim de Basto,base.pt
concelho_1706,1,1706,Vila Real / Montalegre,base.pt
concelho_1707,1,1707,Vila Real / Murça,base.pt
concelho_1708,1,1708,Vila Real / Peso da Régua,base.pt
concelho_1709,1,1709,Vila Real / Ribeira de Pena,base.pt
concelho_1710,1,1710,Vila Real / Sabrosa,base.pt
concelho_1711,1,1711,Vila Real / Sta Marta Penaguião,base.pt
concelho_1712,1,1712,Vila Real / Valpaços,base.pt
concelho_1713,1,1713,Vila Real / Vila Pouca de Aguiar,base.pt
concelho_1714,1,1714,Vila Real / Vila Real,base.pt
concelho_1801,1,1801,Viseu / Armamar,base.pt
concelho_1802,1,1802,Viseu / Carregal do Sal,base.pt
concelho_1803,1,1803,Viseu / Castro Daire,base.pt
concelho_1804,1,1804,Viseu / Cinfães,base.pt
concelho_1805,1,1805,Viseu / Lamego,base.pt
concelho_1806,1,1806,Viseu / Mangualde,base.pt
concelho_1807,1,1807,Viseu / Moimenta da Beira,base.pt
concelho_1808,1,1808,Viseu / Mortágua,base.pt
concelho_1809,1,1809,Viseu / Nelas,base.pt
concelho_1810,1,1810,Viseu / Oliveira de Frades,base.pt
concelho_1811,1,1811,Viseu / Penalva do Castelo,base.pt
concelho_1812,1,1812,Viseu / Penedono,base.pt
concelho_1813,1,1813,Viseu / Resende,base.pt
concelho_1814,1,1814,Viseu / Santa Comba Dão,base.pt
concelho_1815,1,1815,Viseu / São João Pesqueira,base.pt
concelho_1816,1,1816,Viseu / São Pedro do Sul,base.pt
concelho_1817,1,1817,Viseu / Sátão,base.pt
concelho_1818,1,1818,Viseu / Sernancelhe,base.pt
concelho_1819,1,1819,Viseu / Tabuaço,base.pt
concelho_1820,1,1820,Viseu / Tarouca,base.pt
concelho_1821,1,1821,Viseu / Tondela,base.pt
concelho_1822,1,1822,Viseu / Vila Nova de Paiva,base.pt
concelho_1823,1,1823,Viseu / Viseu,base.pt
concelho_1824,1,1824,Viseu / Vouzela,base.pt
concelho_3101,1,3101,Ilha da Madeira / Calheta,base.pt
concelho_3102,1,3102,Ilha da Madeira / Câmara de Lobos,base.pt
concelho_3103,1,3103,Ilha da Madeira / Funchal,base.pt
concelho_3104,1,3104,Ilha da Madeira / Machico,base.pt
concelho_3105,1,3105,Ilha da Madeira / Ponta do Sol,base.pt
concelho_3106,1,3106,Ilha da Madeira / Porto Moniz,base.pt
concelho_3107,1,3107,Ilha da Madeira / Ribeira Brava,base.pt
concelho_3108,1,3108,Ilha da Madeira / Santa Cruz,base.pt
concelho_3109,1,3109,Ilha da Madeira / Santana,base.pt
concelho_3110,1,3110,Ilha da Madeira / São Vicente,base.pt
concelho_3201,1,3201,Ilha de Porto Santo / Porto Santo,base.pt
concelho_4101,1,4101,Ilha de Santa Maria / Vila do Porto,base.pt
concelho_4201,1,4201,Ilha de São Miguel / Lagoa,base.pt
concelho_4202,1,4202,Ilha de São Miguel / Nordeste,base.pt
concelho_4203,1,4203,Ilha de São Miguel / Ponta Delgada,base.pt
concelho_4204,1,4204,Ilha de São Miguel / Povoacão,base.pt
concelho_4205,1,4205,Ilha de São Miguel / Ribeira Grande,base.pt
concelho_4206,1,4206,Ilha de São Miguel / Vila Franca do Campo,base.pt
concelho_4301,1,4301,Ilha Terceira / Angra do Heroísmo,base.pt
concelho_4302,1,4302,Ilha Terceira / Vila Praia Vitória,base.pt
concelho_4401,1,4401,Ilha da Graciosa / Sta Cruz da Graciosa,base.pt
concelho_4501,1,4501,Ilha de São Jorge / Calheta,base.pt
concelho_4502,1,4502,Ilha de São Jorge / Velas,base.pt
concelho_4601,1,4601,Ilha do Pico / Lajes do Pico,base.pt
concelho_4602,1,4602,Ilha do Pico / Madalena,base.pt
concelho_4603,1,4603,Ilha do Pico / São Roque do Pico,base.pt
concelho_4701,1,4701,Ilha do Faial / Horta,base.pt
concelho_4801,1,4801,Ilha das Flores / Lajes das Flores,base.pt
concelho_4802,1,4802,Ilha das Flores / Sta Cruz das Flores,base.pt
concelho_4901,1,4901,Ilha do Corvo / Corvo,base.pt
concelho_8888,1,8888,Macau / Macau,base.pt
concelho_9997,1,9997,Moçambique / Moçambique,base.pt
concelho_9998,1,9998,Angola / Angola,base.pt
concelho_9999,1,9999,Estrangeiro / Estrangeiro,base.pt
